customer_id,first_name,last_name,email,city,region,signup_date
GH-CUST-00000,Kwabena,Sarpong,kwabena.sarpong612@example.com,Cape Coast,GH,2024-02-05 00:00:00
GH-CUST-00001,Akosua,Nkrumah,akosua.nkrumah748@example.com,Takoradi,GH,06.05.2025
GH-CUST-00002,Yaw,Agyeman,yaw.agyeman943@example.com,Takoradi,GH,25-Nov-2025
GH-CUST-00003,Yaw,Darko,yaw.darko478@example.com,Sunyani,GH,18-Aug-2024
GH-CUST-00004,Kofi,Ofori,kofi.ofori440@example.com,Kumasi,GH,23.01.2023
GH-CUST-00005,Efua,Darko,efua.darko464@example.com,Takoradi,GH,10-Feb-2023
GH-CUST-00006,Ama,Baffour,ama.baffour81@example.com,Koforidua,GH,18-Sep-2023
GH-CUST-00007,Efua,Frimpong,efua.frimpong428@example.com,Accra,GH,02/06/2025 00:00
GH-CUST-00008,Kofi,Appiah,kofi.appiah465@example.com,Kumasi,GH,18.12.2025
GH-CUST-00009,Kwame,Baffour,kwame.baffour789@example.com,Bolgatanga,GH,07/12/2025 00:00
GH-CUST-00010,Gifty,Ofori,gifty.ofori145@example.com,Koforidua,GH,18.04.2023
GH-CUST-00011,Kofi,Ofori,kofi.ofori628@example.com,Tamale,GH,2024-02-05 00:00:00
GH-CUST-00012,Gifty,Boateng,gifty.boateng911@example.com,Sunyani,GH,27-Jun-2025
GH-CUST-00013,Abena,Baffour,abena.baffour504@example.com,Cape Coast,GH,2024-06-13 00:00:00
GH-CUST-00014,Yaw,Osei,yaw.osei353@example.com,Tema,GH,2024-05-20 00:00:00
GH-CUST-00015,Nana,Nkrumah,nana.nkrumah819@example.com,Tema,GH,03.01.2023
GH-CUST-00016,Esi,Boateng,esi.boateng115@example.com,Sunyani,GH,08/27/2024 00:00
GH-CUST-00017,Comfort,Amoah,comfort.amoah233@example.com,Accra,GH,08/12/2025 00:00
GH-CUST-00018,Esi,Frimpong,esi.frimpong289@example.com,Tema,GH,08-Dec-2024
GH-CUST-00019,Yaa,Asante,yaa.asante302@example.com,Bolgatanga,GH,02.07.2023
GH-CUST-00020,Kojo,Sarpong,kojo.sarpong632@example.com,Accra,GH,23-Dec-2024
GH-CUST-00021,Kwaku,Ofori,kwaku.ofori224@example.com,Accra,GH,09.11.2025
GH-CUST-00022,Abena,Appiah,abena.appiah774@example.com,Ho,GH,12/06/2025 00:00
GH-CUST-00023,Kwaku,Boateng,kwaku.boateng153@example.com,Takoradi,GH,25-May-2025
GH-CUST-00024,Grace,Agyeman,grace.agyeman208@example.com,Cape Coast,GH,05.01.2025
GH-CUST-00025,Gifty,Boateng,gifty.boateng475@example.com,Bolgatanga,GH,12-Aug-2025
GH-CUST-00026,Ama,Sarpong,ama.sarpong954@example.com,Ho,GH,03/13/2025 00:00
GH-CUST-00027,Kojo,Nkrumah,kojo.nkrumah233@example.com,Cape Coast,GH,25-Sep-2025
GH-CUST-00028,Kwaku,Ofori,kwaku.ofori181@example.com,Sunyani,GH,26-Oct-2025
GH-CUST-00029,Yaw,Owusu,yaw.owusu832@example.com,Koforidua,GH,26-Aug-2023
